"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,86.509474,0.632478,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,30.862481,3.082746,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,31.608344,2.460260,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,31.174730,2.421242,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,22.693217,1.751372,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,7.937672,0.040814,"ops/s",2500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,4.214251,0.129849,"ops/s",5000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,10,1.984242,0.124941,"ops/s",7500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,86.866597,12.949469,"ops/s",200000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,44.155602,7.062986,"ops/s",300000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,28.863270,1.103214,"ops/s",400000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,22.903200,0.705303,"ops/s",500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,16.757106,0.760648,"ops/s",600000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,14.492600,0.448124,"ops/s",700000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,12.691044,0.318702,"ops/s",800000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,11.336640,0.326150,"ops/s",900000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,3.626239,0.148618,"ops/s",2500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,1.685090,0.054992,"ops/s",5000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,10,1.218766,0.055266,"ops/s",7500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,65.052981,2.673112,"ops/s",200000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,25.566133,1.203850,"ops/s",300000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,14.130981,0.034104,"ops/s",400000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,8.992041,0.042701,"ops/s",500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,7.366391,0.496313,"ops/s",600000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,5.017430,0.399380,"ops/s",700000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,4.030570,0.563988,"ops/s",800000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,3.050155,0.498790,"ops/s",900000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.376914,0.018875,"ops/s",2500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.111637,0.000348,"ops/s",5000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,10,0.048732,0.005059,"ops/s",7500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,2066.964525,25.859343,"ops/s",200000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,167.680744,1.571151,"ops/s",300000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,126.266457,1.324562,"ops/s",400000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,100.616425,0.284983,"ops/s",500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,83.934967,1.546344,"ops/s",600000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,73.576251,2.554492,"ops/s",700000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,64.317639,2.445001,"ops/s",800000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,56.765835,1.989438,"ops/s",900000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,18.789780,0.442944,"ops/s",2500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,8.774209,0.852357,"ops/s",5000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,10,6.789985,0.210134,"ops/s",7500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,137.183222,20.901541,"ops/s",200000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,71.133811,12.625258,"ops/s",300000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,43.007378,9.826221,"ops/s",400000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,31.283731,1.031060,"ops/s",500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,22.865921,0.800305,"ops/s",600000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,19.844177,0.767024,"ops/s",700000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,17.485781,0.599063,"ops/s",800000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,15.525155,0.585709,"ops/s",900000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,4.827268,0.145095,"ops/s",2500000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,10,2.320647,0.077716,"ops/s",5000000
