"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,14.463344,2.324432,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,12.574091,0.792708,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,12.226368,1.001397,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,8.261348,1.023958,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,6.713973,0.198711,"ops/s",1500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,10,5.814575,0.646317,"ops/s",1750000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,22.548552,0.435905,"ops/s",200000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,10.560775,0.312024,"ops/s",300000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,9.165177,0.113466,"ops/s",400000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,4.686521,0.067886,"ops/s",500000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,3.315931,0.794052,"ops/s",600000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,2.675402,0.106133,"ops/s",700000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,1.416266,0.278554,"ops/s",800000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,1.114937,0.038673,"ops/s",900000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,0.719836,0.019603,"ops/s",1250000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,10,0.467034,0.008149,"ops/s",1500000
